Country Name,Country Code,GDP Type,Year,GDP Value
"Swaziland","SWZ","GDP at market prices (current US$)",2005,2584089443.8067083
"Seychelles","SYC","GDP at market prices (current US$)",2005,919103254.5454545
"Syrian Arab Republic","SYR","GDP at market prices (current US$)",2005,28858965517.241379
"Chad","TCD","GDP at market prices (current US$)",2005,6646663021.4357147
"Togo","TGO","GDP at market prices (current US$)",2005,2115154262.0302539
"Thailand","THA","GDP at market prices (current US$)",2005,189318499954.00308
"Tajikistan","TJK","GDP at market prices (current US$)",2005,2312344310.5126343
"Turkmenistan","TKM","GDP at market prices (current US$)",2005,8104355716.8784027
"Timor-Leste","TLS","GDP at market prices (current US$)",2005,491000000
"Tonga","TON","GDP at market prices (current US$)",2005,258739680.90581572
"Trinidad and Tobago","TTO","GDP at market prices (current US$)",2005,15982284589.497749
"Tunisia","TUN","GDP at market prices (current US$)",2005,32273007553.568672
"Turkey","TUR","GDP at market prices (current US$)",2005,482979839089.01465
"Tuvalu","TUV","GDP at market prices (current US$)",2005,21839543.633318286
"Tanzania","TZA","GDP at market prices (current US$)",2005,16929976600.141972
"Uganda","UGA","GDP at market prices (current US$)",2005,9013834373.4124622
"Ukraine","UKR","GDP at market prices (current US$)",2005,86142018069.3504
"Upper middle income","UMC","GDP at market prices (current US$)",2005,6357281686015.9346
"Uruguay","URY","GDP at market prices (current US$)",2005,17362857683.854469
"United States","USA","GDP at market prices (current US$)",2005,13093726000000
"Uzbekistan","UZB","GDP at market prices (current US$)",2005,14307509838.805326
"St. Vincent and the Grenadines","VCT","GDP at market prices (current US$)",2005,550728660.37037039
"Venezuela, RB","VEN","GDP at market prices (current US$)",2005,145513489651.87222
"Vietnam","VNM","GDP at market prices (current US$)",2005,57633255739.398415
"Vanuatu","VUT","GDP at market prices (current US$)",2005,394962552.336108
"West Bank and Gaza","PSE","GDP at market prices (current US$)",2005,4834276355.3713484
"World","WLD","GDP at market prices (current US$)",2005,47104046102376.977
"Samoa","WSM","GDP at market prices (current US$)",2005,465568018.30055714
"Yemen, Rep.","YEM","GDP at market prices (current US$)",2005,16753772447.794027
"South Africa","ZAF","GDP at market prices (current US$)",2005,257772766357.93246
"Congo, Dem. Rep.","COD","GDP at market prices (current US$)",2005,11964484667.910227
"Zambia","ZMB","GDP at market prices (current US$)",2005,8331870169.1497707
"Zimbabwe","ZWE","GDP at market prices (current US$)",2005,5755215200
"Aruba","ABW","GDP at market prices (current US$)",2006,2421474860.3351955
"Andorra","AND","GDP at market prices (current US$)",2006,3536451645.56431
"Afghanistan","AFG","GDP at market prices (current US$)",2006,7057598406.6155291
"Angola","AGO","GDP at market prices (current US$)",2006,52381006892.03801
"Albania","ALB","GDP at market prices (current US$)",2006,8992642348.9579563
"Arab World","ARB","GDP at market prices (current US$)",2006,1398632156190.8333
"United Arab Emirates","ARE","GDP at market prices (current US$)",2006,222105922396.1879
"Argentina","ARG","GDP at market prices (current US$)",2006,262666517346.67361
"Armenia","ARM","GDP at market prices (current US$)",2006,6384451606.1420975
"Antigua and Barbuda","ATG","GDP at market prices (current US$)",2006,1135143592.5925925
"Australia","AUS","GDP at market prices (current US$)",2006,746880802635.51965
"Austria","AUT","GDP at market prices (current US$)",2006,334309371471.58447
"Azerbaijan","AZE","GDP at market prices (current US$)",2006,20983019923.886276
"Burundi","BDI","GDP at market prices (current US$)",2006,1273180597.027113
"Belgium","BEL","GDP at market prices (current US$)",2006,409813072387.4043
"Benin","BEN","GDP at market prices (current US$)",2006,5142380779.4410334
"Burkina Faso","BFA","GDP at market prices (current US$)",2006,5844669845.5373316
"Bangladesh","BGD","GDP at market prices (current US$)",2006,71819083683.740326
"Bulgaria","BGR","GDP at market prices (current US$)",2006,34304448149.810814
"Bahrain","BHR","GDP at market prices (current US$)",2006,18505053191.489361
"Bahamas, The","BHS","GDP at market prices (current US$)",2006,7965588000
"Bosnia and Herzegovina","BIH","GDP at market prices (current US$)",2006,12866524918.222054
"Belarus","BLR","GDP at market prices (current US$)",2006,36961821893.697563
"Belize","BLZ","GDP at market prices (current US$)",2006,1217442150
"Bermuda","BMU","GDP at market prices (current US$)",2006,5414299000
"Bolivia","BOL","GDP at market prices (current US$)",2006,11451869164.71117
"Brazil","BRA","GDP at market prices (current US$)",2006,1107640325472.3486
"Barbados","BRB","GDP at market prices (current US$)",2006,4303500000
"Brunei Darussalam","BRN","GDP at market prices (current US$)",2006,11470703002.076908
"Bhutan","BTN","GDP at market prices (current US$)",2006,897731524.92992246
"Botswana","BWA","GDP at market prices (current US$)",2006,10126940513.312546
"Central African Republic","CAF","GDP at market prices (current US$)",2006,1460562038.3709695
"Canada","CAN","GDP at market prices (current US$)",2006,1310752820874.4709
"Central Europe and the Baltics","CEB","GDP at market prices (current US$)",2006,1000066481043.0409
"Switzerland","CHE","GDP at market prices (current US$)",2006,429195591242.62244
"Channel Islands","CHI","GDP at market prices (current US$)",2006,9676172953.0818768
"Chile","CHL","GDP at market prices (current US$)",2006,154671012210.64542
"China","CHN","GDP at market prices (current US$)",2006,2729784031906.0879
"Cote d'Ivoire","CIV","GDP at market prices (current US$)",2006,17800887796.49873
"Cameroon","CMR","GDP at market prices (current US$)",2006,17953066721.094933
"Congo, Rep.","COG","GDP at market prices (current US$)",2006,7731261310.933217
"Colombia","COL","GDP at market prices (current US$)",2006,162590146096.41431
"Comoros","COM","GDP at market prices (current US$)",2006,406111873.5398469
"Cabo Verde","CPV","GDP at market prices (current US$)",2006,1107891063.43863
"Costa Rica","CRI","GDP at market prices (current US$)",2006,22526463618.698864
"Caribbean small states","CSS","GDP at market prices (current US$)",2006,52391530144.752563
"Cuba","CUB","GDP at market prices (current US$)",2006,52742100000
"Cayman Islands","CYM","GDP at market prices (current US$)",2006,3207032512.9420519
"Cyprus","CYP","GDP at market prices (current US$)",2006,19866878478.674839
"Czech Republic","CZE","GDP at market prices (current US$)",2006,155213006071.97861
"Germany","DEU","GDP at market prices (current US$)",2006,3002446368084.3057
"Djibouti","DJI","GDP at market prices (current US$)",2006,768873684.032838
"Dominica","DMA","GDP at market prices (current US$)",2006,390370370.37037033
"Denmark","DNK","GDP at market prices (current US$)",2006,282961088316.40546
"Dominican Republic","DOM","GDP at market prices (current US$)",2006,35952890849.447922
"Algeria","DZA","GDP at market prices (current US$)",2006,117027304787.83591
"East Asia & Pacific (developing only)","EAP","GDP at market prices (current US$)",2006,3725145027789.2119
"East Asia & Pacific (all income levels)","EAS","GDP at market prices (current US$)",2006,10719924071845.693
"Europe & Central Asia (developing only)","ECA","GDP at market prices (current US$)",2006,1052052851146.3699
"Europe & Central Asia (all income levels)","ECS","GDP at market prices (current US$)",2006,17995939923014.867
"Ecuador","ECU","GDP at market prices (current US$)",2006,46802044000
"Egypt, Arab Rep.","EGY","GDP at market prices (current US$)",2006,107484034870.97391
"Euro area","EMU","GDP at market prices (current US$)",2006,11183457213205.262
"Eritrea","ERI","GDP at market prices (current US$)",2006,1211161879.6747968
"Spain","ESP","GDP at market prices (current US$)",2006,1264551499184.5439
"Estonia","EST","GDP at market prices (current US$)",2006,16963630661.146656
"Ethiopia","ETH","GDP at market prices (current US$)",2006,15280861834.602404
"European Union","EUU","GDP at market prices (current US$)",2006,15296026866695.563
"Fragile and conflict affected situations","FCS","GDP at market prices (current US$)",2006,353188483328.65759
"Finland","FIN","GDP at market prices (current US$)",2006,216552502822.73239
"Fiji","FJI","GDP at market prices (current US$)",2006,3102741451.0166359
"France","FRA","GDP at market prices (current US$)",2006,2325011918203.4878
"Faroe Islands","FRO","GDP at market prices (current US$)",2006,1970142377.9150686
"Micronesia, Fed. Sts.","FSM","GDP at market prices (current US$)",2006,252991199.99999997
"Gabon","GAB","GDP at market prices (current US$)",2006,10154041929.652142
"United Kingdom","GBR","GDP at market prices (current US$)",2006,2588077276908.9238
"Georgia","GEO","GDP at market prices (current US$)",2006,7745406200.8537407
"Ghana","GHA","GDP at market prices (current US$)",2006,20409257610.474628
"Guinea","GIN","GDP at market prices (current US$)",2006,2931625104.5010929
"Gambia, The","GMB","GDP at market prices (current US$)",2006,655068695.952711
"Guinea-Bissau","GNB","GDP at market prices (current US$)",2006,591829897.54924548
"Equatorial Guinea","GNQ","GDP at market prices (current US$)",2006,9144693758.2103786
"Greece","GRC","GDP at market prices (current US$)",2006,273317737046.79462
"Grenada","GRD","GDP at market prices (current US$)",2006,698518518.51851845
"Greenland","GRL","GDP at market prices (current US$)",2006,1811232804.7651582
"Guatemala","GTM","GDP at market prices (current US$)",2006,30231249704.048615
"Guyana","GUY","GDP at market prices (current US$)",2006,1458446872.2697577
"High income","HIC","GDP at market prices (current US$)",2006,40856891052007.563
"Hong Kong SAR, China","HKG","GDP at market prices (current US$)",2006,193536265094.36389
"Honduras","HND","GDP at market prices (current US$)",2006,10841742347.796839
"Heavily indebted poor countries (HIPC)","HPC","GDP at market prices (current US$)",2006,289625112863.0072
"Croatia","HRV","GDP at market prices (current US$)",2006,50453577898.48864
"Haiti","HTI","GDP at market prices (current US$)",2006,4757289751.6442051
"Hungary","HUN","GDP at market prices (current US$)",2006,114733732591.85323
"Indonesia","IDN","GDP at market prices (current US$)",2006,364570515631.49194
"Isle of Man","IMN","GDP at market prices (current US$)",2006,3344402193.2460756
"India","IND","GDP at market prices (current US$)",2006,949116769619.21545
